id,name,species,temperament,dailyExpenses,adoptionCost,magicalAbilities
1,Firewing,Phoenix,Calm,120.5,2500.0,"Healing, Rebirth, Flight"
2,Shadow,Thestral,Introverted,45.0,1200.0,"Invisibility, Flight"
3,Glitter,Unicorn,Friendly,60.0,3000.0,"Purification, Light"
4,Rocky,Hippogriff,Proud,85.0,1800.0,"Strength, Flight"
5,Bubbles,Kelpie,Mischievous,30.0,900.0,"Shape-shifting, Water Breathing"
6,Sparky,Dragon,Energetic,250.0,7000.0,"Fire Breathing, Flight"
7,Misty,Niffler,Greedy,15.0,500.0,"Treasure Hunting"
8,Bolt,Thunderbird,Brave,150.0,4500.0,"Weather Control, Flight"
9,Luna,Mooncalf,Shy,10.0,350.0,"Moonlight Dancing"
10,Grog,Troll,Stubborn,40.0,800.0,"Super Strength"
11,Fang,Basilisk,Dangerous,300.0,12000.0,"Petrification, Venom"
12,Silver,Pegasus,Noble,95.0,3800.0,"Flight, Speed"
13,Goldie,Leprechaun,Tricky,25.0,1500.0,"Illusion, Luck"
14,Thorne,Manticore,Aggressive,180.0,6500.0,"Venomous Sting, Strength"
15,Aqua,Siren,Charming,75.0,2800.0,"Hypnotic Song, Swimming"
